Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A538457,STRAY,12/11/2025,MIA,CAT,6 YEARS,MED,DIL TORTIE / ORANGE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538457&location=MONT,"400 MUDDY BRANCH RD, GAITHERSBURG MD 20878"
A538099,STRAY,12/01/2025,*SUPERPIG,OTHER,2 YEARS,SMALL,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538099&location=MONT,"200 BOOTH ST, GAITHERSBURG MD 20878"
A534201,STRAY,08/05/2025,SANDY CHEEKS,DOG,1 YEAR 4 MONTHS,LARGE,BROWN / WHITE,AM PIT BULL TER / BOXER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534201&location=MONT,"8500 GARLAND AVE, TAKOMA PARK MD 20912"
A538087,RETURN,12/11/2025,*PUDDY TAT,CAT,10 MONTHS,MED,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538087&location=MONT,
A517079,OWNER SUR,12/07/2025,*PICCARD,CAT,1 YEAR 11 MONTHS,KITTE,BLACK,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517079&location=MONT,
A517078,OWNER SUR,12/07/2025,*JEAN LUKE,CAT,1 YEAR 11 MONTHS,KITTE,BLACK,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517078&location=MONT,
A538169,BOARDING,12/02/2025,FISH 17,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538169&location=MONT,
A538160,BOARDING,12/02/2025,FISH 8,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538160&location=MONT,
A538185,BOARDING,12/02/2025,FISH 33,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538185&location=MONT,
A514149,OWNER SUR,10/02/2025,NAJIA,DOG,3 YEARS,LARGE,WHITE / BROWN,BULL TERRIER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514149&location=MONT,
A538428,OWNER SUR,12/10/2025,*PEPPER ANN,CAT,2 YEARS,MED,TORTIE,DOMESTIC MH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538428&location=MONT,
A522075,OWNER SUR,11/29/2025,MOOSE,DOG,2 YEARS,SMALL,TAN / BLACK,BLACK MOUTH CUR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522075&location=MONT,
A528798,OWNER SUR,12/04/2025,FERB,OTHER,1 YEAR 9 MONTHS,MED,BROWN / TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528798&location=MONT,
A531813,CONFISCATE,06/14/2025,*JAMBALAYA,DOG,7 YEARS,MED,BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531813&location=MONT,
A528797,OWNER SUR,12/04/2025,PHIN,OTHER,1 YEAR 9 MONTHS,MED,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528797&location=MONT,
A348332,RETURN,12/13/2025,TIRAMISU,CAT,14 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A348332&location=MONT,
A535584,CONFISCATE,09/14/2025,*SURGE,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535584&location=MONT,
A535716,RETURN,10/22/2025,*CURTIS,DOG,2 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535716&location=MONT,
A514404,OWNER SUR,11/14/2025,KAYLA,DOG,2 YEARS,MED,BLACK / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514404&location=MONT,
A514568,CONFISCATE,10/01/2025,ZINA,DOG,5 YEARS,MED,TAN / WHITE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514568&location=MONT,
A538458,OWNER SUR,12/11/2025,BANANA,OTHER,NO AGE,SMALL,WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538458&location=MONT,
A534493,RETURN,09/12/2025,*ORDELIA,DOG,8 YEARS,LARGE,BROWN / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534493&location=MONT,
A537889,OWNER SUR,11/22/2025,*EDGE,DOG,4 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537889&location=MONT,
A536421,RETURN,10/26/2025,MINION,DOG,3 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536421&location=MONT,
A538500,OWNER SUR,12/13/2025,PEANUT,BIRD,6 YEARS,MED,GREEN,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538500&location=MONT,
A535138,RETURN,11/03/2025,*SPICY DRAGON ROLL,CAT,5 YEARS,MED,WHITE / BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535138&location=MONT,
A533641,OWNER SUR,12/18/2025,*AIR CONDITIONER,CAT,7 MONTHS,KITTE,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533641&location=MONT,
A508666,OWNER SUR,09/09/2025,FINLEY,DOG,3 YEARS,MED,TAN,CANE CORSO / STAFFORDSHIRE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508666&location=MONT,
A538176,BOARDING,12/02/2025,FISH 24,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538176&location=MONT,
A529265,RETURN,12/18/2025,DOLLY,CAT,11 MONTHS,MED,BLACK / WHITE,DOMESTIC LH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529265&location=MONT,
A535079,OWNER SUR,08/29/2025,CUTIE,DOG,8 YEARS,LARGE,BLUE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535079&location=MONT,
A537935,STRAY,11/25/2025,*SHELLY,DOG,4 YEARS,LARGE,BROWN / BLACK,GERM SHEPHERD / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537935&location=MONT,"12800 NEW HAMPSHIRE AVE, ASHTON MD 20861"
A536891,STRAY,10/23/2025,*KISMET,CAT,3 YEARS,SMALL,BLACK / WHITE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536891&location=MONT,ANNANDALE VA
A538456,STRAY,12/11/2025,JACK,CAT,2 YEARS,MED,CRM TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538456&location=MONT,"400 MUDDY BRANCH RD, GAITHERSBURG MD 20878"
A537705,STRAY,11/16/2025,*JASPER,DOG,2 YEARS,MED,BLUE MERLE / WHITE,AUST CATTLE DOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537705&location=MONT,"15700 NEEDWOOD LAKE CIR, DERWOOD MD 20855"
A538184,BOARDING,12/02/2025,FISH 32,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538184&location=MONT,
A534659,OWNER SUR,08/17/2025,ETHAN,CAT,1 YEAR 1 MONTH,MED,WHITE / GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534659&location=MONT,
A537908,OWNER SUR,11/23/2025,*CROWBAR,BIRD,5 MONTHS,SMALL,CREAM / BLACK,CHICKEN / BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537908&location=MONT,
A528258,OWNER SUR,11/17/2025,*INCHWORM,DOG,1 YEAR 6 MONTHS,LARGE,WHITE / TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528258&location=MONT,
A537929,OWNER SUR,11/24/2025,*HIELO,DOG,1 YEAR 4 MONTHS,MED,BLUE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537929&location=MONT,
A508464,STRAY,12/07/2025,SNOW,CAT,2 YEARS,SMALL,WHITE,MANX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508464&location=MONT,"18000 COTTAGE GARDEN DR, GERMANTOWN MD 20874"
A538158,BOARDING,12/02/2025,FISH 6,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538158&location=MONT,
A538293,STRAY,12/04/2025,*TWINKLE,CAT,1 YEAR,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538293&location=MONT,"13400 BLK OLD COLUMBIA PIKE, SILVER SPRING MD 20904"
